A,B,C,D,Volume,Height,H2
8.00,-36.00,2.00,1.00,9.757189,2396.495634,2.944360
9.00,-36.00,2.00,1.00,10.041261,2103.745843,2.660226
10.00,-36.00,2.00,1.00,10.381571,2975.076029,3.455346
0.00,-33.00,2.00,1.00,9.646674,3569.672851,6.355361
1.00,-33.00,2.00,1.00,9.615186,2779.565106,3.588805
2.00,-33.00,2.00,1.00,9.514169,2881.872295,3.880644
3.00,-33.00,2.00,1.00,9.895117,2445.703465,3.131136
4.00,-33.00,2.00,1.00,9.773358,3169.013946,3.667102
5.00,-33.00,2.00,1.00,9.427716,3159.365365,3.988823
6.00,-33.00,2.00,1.00,9.817818,2950.115760,3.602183
7.00,-33.00,2.00,1.00,9.842670,2802.415055,3.388413
8.00,-33.00,2.00,1.00,9.752769,2609.684142,3.159252
9.00,-33.00,2.00,1.00,9.790315,2286.471777,2.844469
10.00,-33.00,2.00,1.00,10.371342,3243.222308,3.725340
0.00,-30.00,2.00,1.00,8.866356,3914.080999,6.738818
1.00,-30.00,2.00,1.00,9.512401,3049.005389,3.862111
2.00,-30.00,2.00,1.00,9.486067,3162.790938,4.170975
3.00,-30.00,2.00,1.00,9.767087,2680.390872,3.369979
4.00,-30.00,2.00,1.00,9.711061,3482.873628,3.983510
5.00,-30.00,2.00,1.00,9.356937,3462.491592,4.300195
6.00,-30.00,2.00,1.00,9.594285,3212.386388,3.868594
7.00,-30.00,2.00,1.00,9.793247,3070.607591,3.659472
8.00,-30.00,2.00,1.00,9.625484,2864.255165,3.415976
9.00,-30.00,2.00,1.00,9.930712,2503.313531,3.063219
10.00,-30.00,2.00,1.00,10.104982,3564.340859,4.048730
0.00,-60.00,3.00,1.00,10.549157,1765.195351,3.634261
1.00,-60.00,3.00,1.00,9.861183,1316.848766,1.756164
2.00,-60.00,3.00,1.00,10.401653,1509.856657,2.191600
3.00,-60.00,3.00,1.00,10.701960,1212.606212,1.656165
4.00,-60.00,3.00,1.00,9.517102,1545.146716,1.919035
5.00,-60.00,3.00,1.00,9.993085,1571.548092,2.141012
6.00,-60.00,3.00,1.00,9.921948,1388.273299,1.835325
7.00,-60.00,3.00,1.00,9.745899,1332.182194,1.772111
8.00,-60.00,3.00,1.00,9.683635,1261.734292,1.670849
9.00,-60.00,3.00,1.00,10.575163,1177.481423,1.608891
10.00,-60.00,3.00,1.00,10.142898,1540.783882,1.902947
0.00,-57.00,3.00,1.00,9.469586,1856.684359,3.736974
1.00,-57.00,3.00,1.00,9.763520,1387.004014,1.826909
2.00,-57.00,3.00,1.00,10.752989,1588.575179,2.271320
3.00,-57.00,3.00,1.00,10.486025,1279.808152,1.725186
4.00,-57.00,3.00,1.00,9.483814,1625.834740,2.000182
5.00,-57.00,3.00,1.00,9.895430,1653.370289,2.223332
6.00,-57.00,3.00,1.00,9.767080,1462.399558,1.910360
