FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A0_00_B_54_00_C2_00_D2_00.odb,-3.804,1.231,7.445,0.1201,0.1805,4.8266,1765.923,1.692
job_A0_00_B_54_00_C2_00_D3_00.odb,-7.895,2.133,7.117,0.1578,0.218,4.8107,1462.092,1.7116
job_A0_00_B_54_00_C2_00_D4_00.odb,-7.468,1.837,10.697,0.1685,0.133,3.3471,2396.4128,1.2041
job_A0_00_B_54_00_C3_00_D1_00.odb,-6.921,1.041,5.857,0.1482,0.2302,6.1181,1385.0597,2.1438
job_A0_00_B_54_00_C3_00_D2_00.odb,-1.915,0.785,3.022,0.1231,0.4185,10.8584,761.6984,3.762
job_A0_00_B_54_00_C3_00_D3_00.odb,-4.019,1.947,4.824,0.1349,0.2962,7.2524,1076.2563,2.5356
job_A0_00_B_57_00_C2_00_D1_00.odb,-10.331,2.913,11.552,0.1467,0.154,3.0117,2069.7231,1.0931
job_A0_00_B_57_00_C2_00_D2_00.odb,-3.409,1.152,7.174,0.1239,0.1831,4.957,1740.6055,1.7371
job_A0_00_B_57_00_C2_00_D3_00.odb,-7.752,2.182,7.635,0.1563,0.2001,4.5176,1593.3801,1.6084
job_A0_00_B_57_00_C2_00_D4_00.odb,-7.993,1.473,10.084,0.1664,0.1402,3.4971,2273.6975,1.2552
job_A0_00_B_57_00_C3_00_D1_00.odb,-8.479,1.014,9.271,0.1404,0.1296,4.0598,2460.0112,1.4288
job_A0_00_B_57_00_C3_00_D2_00.odb,-2.081,0.859,2.987,0.127,0.4258,10.8186,748.65,3.7525
job_A0_00_B_60_00_C2_00_D1_00.odb,-9.247,2.809,10.192,0.1443,0.178,3.2739,1790.7633,1.1868
job_A0_00_B_60_00_C2_00_D2_00.odb,-3.112,1.188,6.892,0.1364,0.1854,5.128,1719.655,1.7984
job_A0_00_B_60_00_C2_00_D3_00.odb,-6.913,2.034,6.546,0.152,0.2274,5.12,1401.9786,1.8148
job_A0_00_B_60_00_C2_00_D4_00.odb,-6.619,1.755,9.887,0.1652,0.1413,3.5234,2256.1885,1.2639
job_A0_00_B_60_00_C3_00_D1_00.odb,-6.457,1.138,4.275,0.1483,0.2914,7.902,1093.9491,2.7527
job_A0_00_B_60_00_C3_00_D2_00.odb,-2.067,0.925,3.075,0.1276,0.4249,10.4022,750.2847,3.615
job_A0_00_B_60_00_C3_00_D3_00.odb,-3.515,1.86,5.077,0.1299,0.2937,6.8157,1085.2659,2.389
job_A0_00_B_60_00_C4_00_D1_00.odb,-6.121,1.016,8.815,0.1332,0.1348,4.2322,2364.3101,1.4851
job_A10_00_B_30_00_C2_00_D3_00.odb,-8.909,0.774,3.663,0.131,0.4043,9.4999,788.5121,3.3116
