FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A0_00_B_30_00_C2_00_D2_00.odb,-7.166,1.525,7.454,0.3756,0.2409,5.0645,1323.0736,1.8748
job_A0_00_B_30_00_C2_00_D3_00.odb,-3.922,0.814,3.168,0.4143,1.6129,11.8265,197.6387,4.5717
job_A0_00_B_30_00_C2_00_D4_00.odb,-4.275,0.464,3.384,0.4187,1.35,11.5336,236.1308,4.3898
job_A0_00_B_30_00_C3_00_D2_00.odb,-1.973,0.69,2.612,0.365,0.4951,13.3797,643.8412,4.6991
job_A0_00_B_33_00_C2_00_D1_00.odb,-4.284,1.055,4.071,0.3972,1.3928,9.0757,228.8712,3.5857
job_A0_00_B_33_00_C2_00_D2_00.odb,-7.273,1.531,7.75,0.3688,0.2231,4.8609,1428.6073,1.7994
job_A0_00_B_33_00_C2_00_D3_00.odb,-3.76,0.804,3.042,0.4276,1.63,12.1276,195.5761,4.6811
job_A0_00_B_33_00_C2_00_D4_00.odb,-3.829,0.612,3.386,0.4269,1.3258,11.3544,240.4414,4.3254
job_A0_00_B_33_00_C3_00_D1_00.odb,-2.769,0.296,2.066,0.3416,1.8218,18.3396,174.9833,6.766
job_A0_00_B_33_00_C3_00_D2_00.odb,-1.898,0.767,2.517,0.3594,0.4996,13.6884,638.0914,4.8006
job_A0_00_B_33_00_C3_00_D3_00.odb,-5.731,1.522,4.866,0.3619,0.3063,7.6289,1040.6281,2.7381
job_A0_00_B_36_00_C2_00_D2_00.odb,-6.386,1.363,7.387,0.3731,0.2213,5.0681,1440.7073,1.8686
job_A0_00_B_36_00_C2_00_D3_00.odb,-3.804,0.807,3.223,0.4243,1.485,11.4536,214.6608,4.4098
job_A0_00_B_36_00_C2_00_D4_00.odb,-3.972,0.518,3.624,0.4292,1.1847,10.5534,269.0892,4.0152
